164	1	31
0.613971	0.188238	0.416669
1	0	1	29	3	7	5	A	
2	2	1	81	19	5	1	A	
3	0	1	42	4	2	7	C	
4	3	2	35	29	2	1	B	
5	0	2	15	1	2	6	D	
6	3	2	46	9	4	2	D	
7	4	2	63	46	6	1	A	
8	4	2	70	29	2	10	A	
9	0	3	56	4	3	10	A	
10	2	4	90	37	5	1	C	
11	2	4	68	37	6	8	A	
12	4	4	30	32	4	9	A	
13	3	4	14	17	3	8	A	
14	1	4	30	10	6	3	B	
15	0	5	81	3	7	9	B	
16	4	5	73	21	3	9	B	
17	1	5	46	14	3	10	C	
18	0	6	75	2	1	5	A	
19	4	6	89	44	6	2	C	
20	3	6	52	30	2	10	B	
21	1	6	16	37	3	3	D	
22	4	6	64	30	5	4	D	
23	4	6	94	21	2	4	C	
24	0	8	63	1	7	10	D	
25	2	8	40	20	3	7	C	
26	3	8	39	7	4	6	A	
27	4	8	70	17	4	6	B	
-1
